"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ps_neuropathy_yes,prescreening,,notes,"11a. If Yes, Specify",,,,,,,"[ps_neuropathy] = '1'",y,,,,,
ps_healing,prescreening,,yesno,"12. Do You Have Slow Wound Healing?",,,,,,,,y,,,,,
ps_healing_yes,prescreening,,notes,"12a. If Yes, Specify",,,,,,,"[ps_healing] = '1'",y,,,,,
ps_current_meds,prescreening,,checkbox,"13. Do You Take  Any Of The Following:","1, OPIOIDS - (ex: Morphine, Codeine, Hydrocodone, Oxycodone, Fentanyl etc.) | 2, BENZODIAZEPINES - (ex: Xanxax, Valium, Clonazepam, Lorazepam etc.) | 3, CORTICOSTEROIDS - (ex: Prednisone, Prednisolone, Methylprednisolone, Hydrocortisone etc.) | 4, BETA BLOCKERS - (ex: Atenolol, Metoprolol, Propanolol, Carvedilol, Labetalol, Bisoprolol etc.) | 5, INSULIN | 6, METFORMIN | 7, GLP 1 RECEPTOR AGONISTS - (ex: Trulicity, Ozempic, Mounjaro, Victoza etc.) | 8, ANICOAGULANTS a.k.a. BLOOD THINNERS (ex: Warfarin, Enoxaparin, Heparin etc.) | 9, SULFONYLUREAS - (ex: Glipizide, Glyburide, Glimepiride Tolutamide etc.) | 10, IMMUNOSUPPRESSANTS (ex: Cyclosporine, Rapamycin, Tacrolimus etc.) | 11, NONE OF THESE",,,,,,,y,,,,,"Should be NO"
cs_date,consentscreening,,text,"Consent/Screening Visit Date",,,date_dmy,,,,,y,,,,,
cs_time,consentscreening,,text,"Time Of Consent/Screening",,,time,,,,,y,,,,,
cs_participant_show,consentscreening,,yesno,"1. Did Participant Show Up To Screening/Consent Visit?",,,,,,,,y,,,,,
cs_why_no_show,consentscreening,,notes,"1a. If Participant Did Not Show To Consent/Screening Visit, Why Not?",,,,,,,"[cs_participant_show] = '0'",y,,,,,
cs_fasting,consentscreening,,yesno,"2. Did Participant Fast (No Food, Drinks or Supplements Except For Water) for 12 Hours Before The Consent/Screening Visit?",,,,,,,,y,,,,,
cs_video,consentscreening,,yesno,"3. Did Participant Watch The Consent Form Video?",,,,,,,,y,,,,,
cs_form_signing,consentscreening,,radio,"4. Did The Participant Sign The Consent Form? ","1, Yes | 2, No | 3, Participant Took Consent Form Home To Look Over",,,,,,,y,,,,,
cs_not_signed,consentscreening,,notes,"4a. If Participant Did Not Sign The Consent Form, Why Not? ",,,,,,,"[cs_form_signing] = '2'",y,,,,,
cs_follow_up_date,consentscreening,,text,"4b. Follow-Up Date To Verify Participation In The Trial",,,date_dmy,,,,"[cs_form_signing] = '3'",y,,,,,
cs_wet_ink_upload,consentscreening,,file,"5. Signed Consent Form",,,,,,,,y,,,,,
cs_take_home_copy,consentscreening,,yesno,"6. Was A Copy Of The Consent Form Given To The Participant?",,,,,,,,y,,,,,
cs_take_home_not_given,consentscreening,,notes,"6a. If No To question 6, Please Explain",,,,,,,"[cs_take_home_copy] = '0'",y,,,,,
demo_name,demographics,,text,"1. Participant Name",,,,,,y,,y,,,,,
demo_dob,demographics,,text,"2. Participant D.O.B.",,,date_dmy,,,,,y,,,,,
demo_sex,demographics,,radio,"3. Participant Sex","1, Male | 2, Female",,,,,,,y,,,,,
demo_race,demographics,,checkbox,"4. Participant Race","1, Asian | 2, Black or African American | 3, White or Caucasian | 4, Mexican or Chicano | 5, Native American or Alaska Native | 6, Pacific Islander or Native Hawaiian | 7, Middle Eastern | 8, Other",,,,,,,y,,,,,
demo_race_other,demographics,,text,"4a. If ""Other"", Please Specify",,,,,,,"[demo_race(8)] = '1'",y,,,,,
demo_ethnicity,demographics,,radio,"5. Ethnicity","1, Hispanic or Latino | 2, Not Hispanic or Latino",,,,,,,y,,,,,
medhx_instructions,medical_history_questionnaire,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span></h6> <h6>-Next, we'll need to gather your medical information including any illnesses, medications currently taking, any allergies and past history of surgeries to help understand your overall health and identify any potential risk factors or complications before the study treatment begins. Try to be as accurate and detailed as possible when answering the questions.</h6></div>",,,,,,,,,,,,,
medhx_height,medical_history_questionnaire,,text,"1. Participant Height (ft./in.)",,,,,,,,y,,,,,
medhx_weight,medical_history_questionnaire,,text,"2. Participant Weight (lbs.)",,,,,,,,y,,,,,
medhx_heart_condition,medical_history_questionnaire,,yesno,"3. Has Your Doctor Ever Said That You Have A Heart Condition? ",,,,,,,,y,,,,,
medhx_dr_recommend,medical_history_questionnaire,,yesno,"4. Has Your Doctor Ever Said That You Should Only Do Physical Activity Recommended By A Doctor?",,,,,,,,y,,,,,
medhx_sports_restrictions,medical_history_questionnaire,,yesno,"5. Has Your Doctor Ever Denied Or Restricted Your Participation In Sports Or Exercise For Any Reason?",,,,,,,,y,,,,,
medhx_symptoms,medical_history_questionnaire,,checkbox,"6. Have You Ever Experienced Any Of The Following Symptoms:","1, Discomfort, Pressure, Or Pain In Your Chest, Neck, Jaw, Arms, Calves, Or Other Areas Potentially Related To Ischemia | 2, Shortness Of Breath At Rest Or With Mild Exertion | 3, Dizziness Or Fainting (Syncope) | 4, Difficulty Breathing While Lying Flat (Orthopnea) Or Sudden Nighttime Breathing Difficulties (Paroxysmal Nocturnal Dyspnea) | 5, Swelling In Your Ankles (Edema) | 6, Palpitations Or Rapid Heartbeat (Tachycardia) | 7, Pain Or Cramping In Your Legs During Physical Activity | 8, A Known Heart Murmur | 9, Unusual Fatigue Or Shortness Of Breath During Routine Activities Or At Rest | 10, None Of The Above",,,,,,,y,,,,,Yes=DQ
medhx_q6_notes,medical_history_questionnaire,,notes,"6a. If Yes To Any Of The List In Question 6, Please Explain",,,,,,,"[medhx_symptoms(1)] = '1' or [medhx_symptoms(2)] = '1' or [medhx_symptoms(3)] = '1' or [medhx_symptoms(4)] = '1' or [medhx_symptoms(5)] = '1' or [medhx_symptoms(6)] = '1' or [medhx_symptoms(7)] = '1' or [medhx_symptoms(8)] = '1' or [medhx_symptoms(9)] = '1'",y,,,,,
medhx_known_history,medical_history_questionnaire,,checkbox,"7. Do You Have A Known History Of The Following:","1, Slow Wound Healing | 2, Taking Immunosuppressive Medications | 3, Diagnosis Of Sickle Cell Disease | 4, No",,,,,,,y,,,,,Yes=DQ
medhx_q7_notes,medical_history_questionnaire,,notes,"7a. If Yes To Any Of The List In Question 7, Please Explain",,,,,,,"[medhx_known_history(1)] = '1' or [medhx_known_history(2)] = '1' or [medhx_known_history(3)] = '1'",y,,,,,
medhx_short_of_breath,medical_history_questionnaire,,yesno,"8. Do You Ever Feel Short Of Breath Or Have Trouble Breathing At Night, At Rest, Or With Light Exertion?",,,,,,,,y,,,,,Yes=DQ
medhx_blood_thinner,medical_history_questionnaire,,yesno,"9. Are You Prescribed Any Blood Thinner Medications (e.g., Warfarin, Coumadin, Clopidogrel, Apixaban, Aspirin* etc.)?",,,,,,,,y,,,,,Yes=DQ
medhx_heart_disease,medical_history_questionnaire,,yesno,"10. Have You Ever Been Diagnosed With A Disease Of Your Heart Or Blood Vessels (including Stroke), Other Than High Blood Pressure?",,,,,,,,y,,,,,Yes=DQ
medhx_blood_pressure,medical_history_questionnaire,,yesno,"11. Have You Been Diagnosed With High Blood Pressure?",,,,,,,,y,,,,,
medhx_bp_controlled,medical_history_questionnaire,,yesno,"11a. If ""Yes"" To Question 11, Is Your Blood Pressure Currently Controlled (i.e., With Medications, Diet, etc.)?",,,,,,,"[medhx_blood_pressure] = '1'",y,,,,,No=DQ
medhx_diabetes,medical_history_questionnaire,,yesno,"12. Have You Ever Been Diagnosed With Diabetes (Type 1 or Type 2)?",,,,,,,,y,,,,,Yes=DQ
medhx_ankle_swelling,medical_history_questionnaire,,yesno,"13. Do You Have Unexplained Swelling In Your Ankles?",,,,,,,,y,,,,,Yes=DQ
medhx_q13_notes,medical_history_questionnaire,,notes,"13a. If Yes To Question 13, Please Explain",,,,,,,"[medhx_ankle_swelling] = '1'",y,,,,,
medhx_unusual_fatigue,medical_history_questionnaire,,yesno,"14. Do You Experience Unusual Fatigue During Usual Activities?",,,,,,,,y,,,,,Yes=DQ
medhx_q14_notes,medical_history_questionnaire,,notes,"14a. If Yes To Question 14, Please Explain",,,,,,,"[medhx_unusual_fatigue] = '1'",y,,,,,
medhx_dizziness,medical_history_questionnaire,,yesno,"15. Do You Lose Your Balance Because Of Dizziness",,,,,,,,y,,,,,Yes=DQ
medhx_q15_notes,medical_history_questionnaire,,notes,"15a. If Yes To Question 15, Please Explain",,,,,,,"[medhx_dizziness] = '1'",y,,,,,
medhx_consciousness,medical_history_questionnaire,,yesno,"16. Do You Ever Lose Consciousness?",,,,,,,,y,,,,,
medhx_q16_notes,medical_history_questionnaire,,notes,"16a. If Yes To Question 16, Please Explain",,,,,,,"[medhx_consciousness] = '1'",,,,,,
medhx_cancer_diagnosed,medical_history_questionnaire,,yesno,"17. Have You Ever Been Diagnosed With Cancer?",,,,,,,,y,,,,,
medhx_q17_notes,medical_history_questionnaire,,notes,"17a. If Yes To Question 17, What Type(s)? Treatment begin/end dates?",,,,,,,"[medhx_cancer_diagnosed] = '1'",y,,,,,
medhx_orthopedic_injuries,medical_history_questionnaire,,yesno,"18. Do You Currently Have Any Orthopedic Injuries Or Problems?",,,,,,,,y,,,,,
medhx_q18_notes,medical_history_questionnaire,,notes,"18a. If ""Yes"" to question 18, Please Describe",,,,,,,"[medhx_orthopedic_injuries] = '1'",y,,,,,
medhx_kidney_disease,medical_history_questionnaire,,yesno,"19. Have You Ever Been Diagnosed With Kidney Disease?",,,,,,,,y,,,,,Yes=DQ
medhx_q19_notes,medical_history_questionnaire,,notes,"19a. If ""Yes"" to question 19, Please Describe",,,,,,,"[medhx_kidney_disease] = '1'",y,,,,,
medhx_asthma_lung_problems,medical_history_questionnaire,,radio,"20. Do You Have Asthma Or Any Other Lung Problem?","1, Asthma | 2, Lung Problems | 3, None Of These",,,,,,,y,,,,,
medhx_q20_notes,medical_history_questionnaire,,notes,"20a. If You Do Have Lung Problems, Please Describe",,,,,,,"[medhx_asthma_lung_problems] = '2'",y,,,,,
medhx_neuropathy,medical_history_questionnaire,,yesno,"21. Do You Currently Have Neuropathy?",,,,,,,,y,,,,,Yes=DQ
medhx_other_illness,medical_history_questionnaire,,yesno,"22. Have You Had Any Other Significant Illnesses Not Listed Above?",,,,,,,,y,,,,,
medhx_q22_notes,medical_history_questionnaire,,notes,"22a. Please Describe Significant Illnesses",,,,,,,"[medhx_other_illness] = '1'",y,,,,,
medhx_latex_allergy,medical_history_questionnaire,,yesno,"23. Are You Allergic To Latex ?",,,,,,,,y,,,,,"If allergic to lidocaine=DQ, If yes to latex alert PI so that accomodations can be made"
medhx_lido_allergy,medical_history_questionnaire,,yesno,"24. Are You Allergic To Lidocaine?",,,,,,,,y,,,,,"If allergic to lidocaine=DQ, If yes to latex alert PI so that accomodations can be made"
medhx_tobacco,medical_history_questionnaire,,yesno,"25. Do You Use Any Tobacco Products?",,,,,,,,y,,,,,Yes=DQ
medhx_cannabis,medical_history_questionnaire,,yesno,"26. Do You Use Any Cannabis Products?",,,,,,,,y,,,,,Yes=DQ
medhx_current_illness,medical_history_questionnaire,,yesno,"27. Do You Currently Have Any Illness?",,,,,,,,y,,,,,"If ""yes"" and condition is acute, advise participant to reach out once illness is resolved."
medhx_q27_notes,medical_history_questionnaire,,notes,"27a. What Illnesses Do You Currently Have?",,,,,,,"[medhx_current_illness] = '1'",y,,,,,
medhx_pregnancy,medical_history_questionnaire,,yesno,"28. Are You Currently Pregnant Or Do You Plan To Become Pregnant Within The Next 7 Months? ",,,,,,,,y,,,,,"If ""yes"", participant is disqualified and probably not 60+ years old."
medhx_perform_activity,medical_history_questionnaire,,notes,"29. Do You Know Of Any Other Reason Why You Should Not Do Physical Activity? Describe",,,,,,,,y,,,,,"If answer indicates contraindication or unwillingness, participant is DQ."
medhx_allergies,medical_history_questionnaire,,notes,"30. Please List All Allergies You Have. (The Substance & Reaction)",,,,,,,,y,,,,,"If lidocaine is listed, DQ. For all others, we will make accommodations where possible, and if not possible, DQ."
medhx_alcohol,medical_history_questionnaire,,yesno,"31. Do You Drink Alcoholic Beverages?",,,,,,,,y,,,,,
medhx_drinks_per_week,medical_history_questionnaire,,text,"31a. If Yes To Question 31, How Many Drinks Per Week On Average?",,,number,0,100,,"[medhx_alcohol] = '1'",y,,,,,
medhx_past_injuries,medical_history_questionnaire,,checkbox,"32. Please Check The Box Next To Any Of The Following Body Parts You Have Injured In The Past And Provide Details.","1, Head | 2, Neck | 3, Upper Back | 4, Lower Back | 5, Chest | 6, Hip | 7, Thigh | 8, Knee | 9, Ankle | 10, Foot | 11, Calf/Shin | 12, Shoulder | 13, Upper Arm | 14, Elbow | 15, Hand/Fingers | 16, None",,,,,,,y,,,,,
medhx_q32_notes,medical_history_questionnaire,,notes,"32a. Provide Details Of Any Body Parts You Have Injured",,,,,,,"[medhx_past_injuries(1)] = '1' or [medhx_past_injuries(2)] = '1' or [medhx_past_injuries(3)] = '1' or [medhx_past_injuries(4)] = '1' or [medhx_past_injuries(5)] = '1' or [medhx_past_injuries(6)] = '1' or [medhx_past_injuries(7)] = '1' or [medhx_past_injuries(8)] = '1' or [medhx_past_injuries(9)] = '1' or [medhx_past_injuries(10)] = '1' or [medhx_past_injuries(11)] = '1' or [medhx_past_injuries(12)] = '1' or [medhx_past_injuries(13)] = '1' or [medhx_past_injuries(14)] = '1' or [medhx_past_injuries(15)] = '1'",y,,,,,
medhx_current_injuries,medical_history_questionnaire,,yesno,"33. Do You Currently Have Any Injuries That Are Bothering You?",,,,,,,,y,,,,,
medhx_q33_notes,medical_history_questionnaire,,notes,"33a. What Injuries Are Currently Bothering You?",,,,,,,"[medhx_current_injuries] = '1'",y,,,,,
medhx_current_work,medical_history_questionnaire,,yesno,"34. Do You Currently Work, Either For Pay Or As A Volunteer?",,,,,,,,y,,,,,
medhx_work_type,medical_history_questionnaire,,radio,"34a. If ""Yes"" To Question 34. Is Your Work:","1, Sedentary (No Exercise) | 2, Inactive-Occasional Light Activity (Walking) | 3, Active-Regular Light Activity and/or Occasional Vigorous Activity (Heavy Lifting, Running, etc.) | 4, Heavy Work-Regular Vigorous Activity",,,,,,"[medhx_current_work] = '1'",y,,,,,
medhx_regular_activities,medical_history_questionnaire,,notes,"35. List Your Regular Physical Activities",,,,,,,,y,,,,,
meddhx_activities_performed,medical_history_questionnaire,,text,"35a. How Often Do You Perform These Activities?",,,,,,,,y,,,,,"ex: once a day, twice a week, once a month etc.)"
medhx_activity_duration,medical_history_questionnaire,,text,"35b. How Long Do You Do You Perform These Activities?",,,,,,,,y,,,,,"ex: 2mins, every 45mins, 1hr each etc."
medhx_activities_started,medical_history_questionnaire,,text,"35c. How Long Ago Did You Start These Activities?",,,,,,,,y,,,,,"ex: yesterday, 2yrs ago, 3 weeks ago etc.)"
medhx_special_diet,medical_history_questionnaire,,notes,"36. Do You Adhere To Any Special Diet (i.e., Vegetarian, Vegan, Paleo, Atkins, etc.)? If Yes, Please Describe.",,,,,,,,y,,,,,
medhx_water_consumption,medical_history_questionnaire,,text,"37. On Average, How Much Water, In Cups, Do You Drink Each Day? (In Ounces)",,"(1 cup = 8oz)",,,,,,y,,,,,
medhx_born_preterm,medical_history_questionnaire,,yesno,"38. Were You Born Pre-Term?",,,,,,,,y,,,,,
medhx_pre_term_answer,medical_history_questionnaire,,radio,"38a. If Yes To Question 38, When?","1, < 28 Weeks | 2, 28 - 32 Weeks | 3, 33 - 37 Weeks | 4, I Don't Know",,,,,,"[medhx_born_preterm] = '1'",y,,,,,
medhx_current_meds,medical_history_questionnaire,,notes,"39. Please List All Medications You Are Currently Taking. Make Sure To Include Over-The-Counter Medications and Any Hormone Replacement.																		",,,,,,,,y,,,,,"DQ for: corticosteroids, opiates, benzodiazepines, tricyclic antidepressants, beta blockers, sulfonylureas, insulin, metformin, anticoagulants, barbiturates, insulin sensitizers, fibrates [PPAR gamma agonist]"
medhx_current_med_dose,medical_history_questionnaire,,notes,"39a. Please List All Medication Doses. Make Sure To Include Over-The-Counter Medications And Any Hormone Replacement.",,,,,,,,y,,,,,"Ex: 1mg, 250mg, 500mg, 100mg etc."
medhx_current_med_frequency,medical_history_questionnaire,,notes,"39b. Please List All Medication Frequency Make Sure To Include Over-The-Counter Medications And Any Hormone Replacement.",,,,,,,,y,,,,,"Ex: once a day (qd), twice a day (bid), three times a day (tid), once a month etc."
fpa_assessment_date,finger_prick_assessment,,text,"Finger Prick Assessment Date",,,date_dmy,,,,,y,,,,,
fpa_assessment_time,finger_prick_assessment,,text,"Time Of Finger Prick Assessment",,,time,,,,,y,,,,,
fpa_for_visit,finger_prick_assessment,,yesno,"1. Did Participant Fast Prior To Visit?",,,,,,,,y,,,,,
fpa_blood_glucose,finger_prick_assessment,,yesno,"2. Was Participant Fasting Blood Glucose Completed?",,,,,,,"[fpa_for_visit] = '1'",y,,,,,
fpa_glucose_results,finger_prick_assessment,,text,"2a. Participant Fasting Blood Glucose Results (mg/dL)",,,number,,,,"[fpa_blood_glucose] = '1'",y,,,,,
fpa_reschedule,finger_prick_assessment,,text,"2b. When Will Participant Return To Complete Fasting Blood Glucose",,,date_dmy,,,,"[fpa_hba1c] = '0'",y,,,,,
fpa_glucose_met,finger_prick_assessment,,yesno,"3. Does Participant Meet Criteria For Prediabetes (Fasting Blood Glucose 100-125 mg/dl)",,,,,,,"[fpa_glucose_results] = '100-125'",y,,,,,
fpa_hba1c,finger_prick_assessment,,yesno,"4. Was Participant HbA1c Completed?",,,,,,,"[fpa_for_visit] = '1'",y,,,,,
fpa_hba1c_results,finger_prick_assessment,,text,"4a. Participant HbA1c Results (mmol/mol)",,,number,,,,"[fpa_hba1c] = '1'",y,,,,,
fpa_hba1c_reschedule,finger_prick_assessment,,text,"4b. When Will Participant Return To Complete HbA1c Testing?",,,date_dmy,,,,"[fpa_hba1c] = '0'",y,,,,,
fpa_hba1met,finger_prick_assessment,,yesno,"4c. Does Participant Meet Criteria For Prediabetes (Hemoglobin A1c 5.7-6.4%)",,,,,,,"[fpa_hba1c_results] = '5.7-6.4'",y,,,,,
usound_instructions,ultrasound,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><span style=""font-weight: normal;"">Tell The Participant:</span></span><br /><span style=""font-weight: normal;"">-Now we are going to perform an ultrasound on your thigh to measure the amount of fat over the muscle to ensure the amount of fat isnt more than 1.5'' deep and this is to ensure the numbing medicine can reach your thigh muscle. </span></h6></div>",,,,,,,,,,,,,
usound_date,ultrasound,,text,"Date Of Ultrasound",,,date_dmy,,,,,y,,,,,
usound_time,ultrasound,,text,"Time Of Ultrasound",,,time,,,,,y,,,,,
usound_fat_depth,ultrasound,,yesno,"1. Was The Amount Of Fat Over The Participant's Muscle More Than 1.5"" Deep?",,,,,,,,y,,,,,
usound_depth_amount,ultrasound,,text,"2. What Is The Depth Of Fat Over Muscle?",,,,,,,"[usound_fat_depth] = '1' and [usound_fat_depth] = '0'",y,,,,,
usound_comments,ultrasound,,notes,Comments:,,,,,,,,,,,,,
inclusion_1,inclusionexclusion_criteria,,radio,"1. Age ≥ 60 years","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_2,inclusionexclusion_criteria,,radio,"2. Sedentary (structured exercise < 30 minutes, 3x/week)","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_3,inclusionexclusion_criteria,,radio,"3. Body weight is at least 110 lbs","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_4,inclusionexclusion_criteria,,radio,"4. Meet criteria for prediabetes (fasting blood glucose 100-125 mg/dl, hemoglobin A1c 5.7-6.4%)","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_5,inclusionexclusion_criteria,,radio,"5. Consume < 8 (women) or < 15 (men) alcohol-containing beverages per week","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_6,inclusionexclusion_criteria,,radio,"6. Do not use tobacco or cannabis","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_7,inclusionexclusion_criteria,,radio,"7. Not taking any medications that could interfere with responses to the interventions (e.g., corticosteroids, opiates, benzodiazepines, tricyclic antidepressants, beta blockers, sulfonylureas, insulin, metformin, anticoagulants, barbiturates, insulin sensitizers, fibrates, immunosuppressants). If you don't know, that's okay. We'll ask what medications you are on and check whether they fall into one of these categories.","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_1,inclusionexclusion_criteria,,radio,"1. History of peripheral neuropathies","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_2,inclusionexclusion_criteria,,radio,"2. Currently taking prescription blood thinners","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_3,inclusionexclusion_criteria,,radio,"3. Medical complications that could would contraindicate participation in the high intensity interval training (HIIT) intervention including: orthopedic complications that would limit your ability to perform cycling exercise, significant cardiovascular impairments (e.g., history of arrhythmias, severe uncontrolled hypertension, etc.), diagnosed metabolic disease (e.g., diabetes), renal disease, sickle cell anemia, or cancer in remission for < 6 months.","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_4,inclusionexclusion_criteria,,radio,"4. Known history of slow wound healing","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_5,inclusionexclusion_criteria,,radio,"5. Lidocaine allergy","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_6,inclusionexclusion_criteria,,radio,"6. Latex allergy","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_7,inclusionexclusion_criteria,,radio,"7. Currently pregnant","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_8,inclusionexclusion_criteria,,radio,"8. >1.5"" subcutaneous fat over the thigh muscle","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
exclusion_9,inclusionexclusion_criteria,,radio,"9. Symptoms suggestive of cardiovascular, respiratory, metabolic, or renal diseases including discomfort, pressure, or pain in your chest, neck, jaw, arms, calves, or other areas potentially related to ischemia; shortness of breath at rest or with mild exertion; dizziness or fainting (syncope); difficulty breathing while lying flat (orthopnea) or sudden nighttime breathing difficulties (paroxysmal nocturnal dyspnea); palpitations or rapid heartbeat (tachycardia); pain or cramping in your legs during physical activity (intermittent claudication); a known heart murmur; swelling in your ankles (edema); unusual fatigue or shortness of breath during routine activities or at rest.","1, Yes | 2, No",,,,,,,y,,,inclusion_exclusion,,
inclusion_exclusion_eligible,inclusionexclusion_criteria,,yesno,"10. Is Participant Eligible To Enroll In The Trial By Meeting All Of The Inclusion Criteria And None Of The Exclusion Criteria?",,,,,,,,y,,,,,
ineligibility_reason,inclusionexclusion_criteria,,notes,"11. If No, Why Not?",,,,,,,"[inclusion_exclusion_eligible] = '0'",,,,,,
hydra_assess_date,hydration_assessment,,text,"Date Hydration Assessment Performed",,,date_mdy,,,,,y,,,,,
hydra_assess_time,hydration_assessment,,text,"Time Hydration Assessment Performed",,,time,,,,,y,,,,,
hydra_assess_gravity,hydration_assessment,,yesno,"1. Was Participant Urine Specific Gravity Less Than 1.020?",,,,,,,,y,,,,,
hydra_assess_value,hydration_assessment,,text,"1a. What Was Participants Urine Specific Gravity?",,,,,,,"[hydra_assess_gravity] = '0' or [hydra_assess_gravity] = '1'",y,,,,,
hydra_assess_urine_color,hydration_assessment,,radio,"1b. What Was The Participant Urine Color In Comparison To The Chart?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,"[hydra_assess_gravity] = '0' or [hydra_assess_gravity] = '1'",y,,,,,
hydra_assess_assessor,hydration_assessment,,text,"2. Name Of Personnel Who Assessed Participants Urine Color",,,,,,,"[hydra_assess_urine_color] = '1' or [hydra_assess_urine_color] = '2' or [hydra_assess_urine_color] = '3' or [hydra_assess_urine_color] = '4' or [hydra_assess_urine_color] = '5' or [hydra_assess_urine_color] = '6' or [hydra_assess_urine_color] = '7' or [hydra_assess_urine_color] = '8'",y,,,,,
hydra_assess_thirst_scale,hydration_assessment,,yesno,"3. Was Thirst Sensation Assessed Using The Thirst Scale?",,,,,,,,y,,,,,
hydra_assess_thirst_sensation,hydration_assessment,,radio,"3a. What Was Participant Thirst Sensation According To Thirst Scale?","1, 1 - Not Thirsty At All | 2, 2 | 3, 3 - A Little Thirsty | 4, 4 | 5, 5 - Moderately Thirsty | 6, 6 | 7, 7 - Very Thirsty | 8, 8 | 9, 9 - Very, Very Thirsty",,,,,,"[hydra_assess_thirst_scale] = '1'",y,,,,,
